Disease,Medication
Fungal infection,"['Antifungal Cream (e.g., Clotrimazole)', 'Oral Antifungal (e.g., Fluconazole)', 'Topical Cream (e.g., Ketoconazole)', 'Antifungal Powder (e.g., Clocip)', 'Itraconazole Capsules']"
Allergy,"['Antihistamine (e.g., Cetirizine)', 'Decongestant (e.g., Pseudoephedrine)', 'Corticosteroid Cream (e.g., Hydrocortisone)', 'Eye Drops (e.g., Olopatadine)', 'Epinephrine Auto-Injector (for severe reactions)']"
GERD,"['Proton Pump Inhibitor (e.g., Omeprazole)', 'H2 Blocker (e.g., Ranitidine)', 'Antacid Syrup (e.g., Gelusil)', 'Prokinetic Agent (e.g., Domperidone)', 'Lifestyle Changes (Avoid Spicy Food)']"
Chronic cholestasis,"['Ursodeoxycholic Acid (UDCA)', 'Cholestyramine (for itching)', 'Vitamin K Supplement', 'Antihistamine (e.g., Diphenhydramine)', 'Rifampicin (for pruritus)']"
Drug Reaction,"['Antihistamine (e.g., Levocetirizine)', 'Oral Corticosteroid (e.g., Prednisone)', 'Topical Steroid (e.g., Betamethasone)', 'Calamine Lotion (for soothing)', 'Epinephrine (for anaphylaxis)']"
Peptic ulcer disease,"['Proton Pump Inhibitor (e.g., Pantoprazole)', 'Antibiotics (e.g., Amoxicillin + Clarithromycin)', 'H2 Blocker (e.g., Famotidine)', 'Antacid (e.g., Digene)', 'Sucralfate Suspension']"
AIDS,"['Antiretroviral Therapy (ART)', 'Protease Inhibitor (e.g., Ritonavir)', 'Integrase Inhibitor (e.g., Dolutegravir)', 'Nucleoside Reverse Transcriptase Inhibitor (e.g., Tenofovir)', 'Prophylactic Antibiotics (e.g., Co-trimoxazole)']"
Diabetes,"['Insulin Injection', 'Metformin Tablets', 'Sulfonylurea (e.g., Glimepiride)', 'DPP-4 Inhibitor (e.g., Sitagliptin)', 'SGLT2 Inhibitor (e.g., Dapagliflozin)']"
Gastroenteritis,"['Oral Rehydration Salts (ORS)', 'Probiotic (e.g., Lactobacillus)', 'Antiemetic (e.g., Ondansetron)', 'Antidiarrheal (e.g., Loperamide - caution)', 'Zinc Supplement']"
Bronchial Asthma,"['Inhaler (e.g., Salbutamol)', 'Inhaled Corticosteroid (e.g., Budesonide)', 'Leukotriene Modifier (e.g., Montelukast)', 'Long-acting Beta Agonist (e.g., Formoterol)', 'Oral Steroid (e.g., Prednisolone - for flare-ups)']"
